mseed stseed accuracy
33165001 11002 0.5555555555555556
33165002 11002 0.2222222222222222
33165003 11002 0.5555555555555556
33165004 11002 0.4444444444444444
33165005 11002 0.5555555555555556
33165006 11002 0.2222222222222222
33165007 11002 0.6111111111111112
33165008 11002 0.5277777777777778
33165009 11002 0.5277777777777778
33165010 11002 0.3611111111111111
33165011 11002 0.7222222222222222
33165012 11002 0.75
33165013 11002 0.16666666666666666
33165014 11002 0.3055555555555556
33165015 11002 0.3611111111111111
33165016 11002 0.25
33165017 11002 0.19444444444444445
33165018 11002 0.6944444444444444
33165019 11002 0.3888888888888889
33165020 11002 0.6388888888888888
33165021 11002 0.75
33165022 11002 0.8333333333333334
33165023 11002 0.3888888888888889
33165024 11002 0.25
33165025 11002 0.6111111111111112
33165026 11002 0.4444444444444444
33165027 11002 0.4722222222222222
33165028 11002 0.75
33165029 11002 0.6666666666666666
33165030 11002 0.6666666666666666
44165001 11002 0.5833333333333334
44165002 11002 0.5555555555555556
44165004 11002 0.7222222222222222
44165005 11002 0.5
44165006 11002 0.8611111111111112
44165007 11002 0.2222222222222222
44165008 11002 0.3333333333333333
44165009 11002 0.5555555555555556
44165010 11002 0.75
44165011 11002 0.3888888888888889
44165012 11002 0.16666666666666666
44165013 11002 0.4166666666666667
44165014 11002 0.08333333333333333
44165015 11002 0.7777777777777778
44165016 11002 0.8055555555555556
44165017 11002 0.8611111111111112
44165018 11002 0.5277777777777778
44165019 11002 0.5277777777777778
44165020 11002 0.5
44165021 11002 0.6388888888888888
44165022 11002 0.2222222222222222
44165023 11002 0.5833333333333334
44165024 11002 0.3888888888888889
44165025 11002 0.8333333333333334
44165026 11002 0.5555555555555556
44165027 11002 0.6388888888888888
44165028 11002 0.6666666666666666
44165029 11002 0.6111111111111112
44165030 11002 0.6388888888888888
55165001 11002 0.16666666666666666
55165002 11002 0.4166666666666667
55165003 11002 0.25
55165004 11002 0.6388888888888888
55165005 11002 0.75
55165006 11002 0.027777777777777776
55165007 11002 0.25
55165008 11002 0.6111111111111112
55165009 11002 0.8055555555555556
55165010 11002 0.3888888888888889
55165011 11002 0.5555555555555556
55165012 11002 0.8333333333333334
55165013 11002 1.0
55165014 11002 0.5555555555555556
55165015 11002 0.3888888888888889
55165016 11002 0.3888888888888889
55165017 11002 0.6944444444444444
55165018 11002 0.3055555555555556
55165019 11002 0.4444444444444444
55165020 11002 0.5555555555555556
55165021 11002 0.8333333333333334
55165022 11002 0.3055555555555556
55165023 11002 0.7222222222222222
55165024 11002 0.3333333333333333
55165025 11002 0.7222222222222222
55165026 11002 0.6944444444444444
55165027 11002 0.2777777777777778
55165028 11002 0.3888888888888889
55165029 11002 0.6944444444444444
55165030 11002 0.4722222222222222
66165001 11001 0.6666666666666666
66165002 11001 0.19444444444444445
66165003 11001 0.5833333333333334
66165004 11001 0.6666666666666666
66165005 11001 0.1388888888888889
66165006 11001 0.16666666666666666
66165007 11001 0.6111111111111112
66165008 11001 0.7777777777777778
66165009 11001 0.3055555555555556
66165010 11001 0.4166666666666667
66165011 11001 0.3888888888888889
66165012 11001 0.4444444444444444
66165013 11001 0.4444444444444444
66165014 11001 0.5833333333333334
66165015 11001 0.5
66165016 11001 0.5555555555555556
66165017 11001 0.4166666666666667
66165018 11001 0.5
66165019 11001 0.75
66165020 11001 0.6666666666666666
66165021 11001 0.6666666666666666
66165022 11001 0.4166666666666667
66165023 11001 0.4444444444444444
66165024 11001 0.3888888888888889
66165025 11001 0.6944444444444444
66165026 11001 0.1388888888888889
66165027 11001 0.7777777777777778
66165028 11001 0.6944444444444444
66165029 11001 0.1111111111111111
66165030 11001 0.7777777777777778
66165001 11002 0.8055555555555556
66165002 11002 0.1388888888888889
66165003 11002 0.8333333333333334
66165004 11002 0.8611111111111112
66165005 11002 0.5555555555555556
66165006 11002 0.4444444444444444
66165007 11002 0.3333333333333333
66165008 11002 0.6944444444444444
66165009 11002 0.4444444444444444
66165010 11002 0.5277777777777778
66165011 11002 0.19444444444444445
66165012 11002 0.6111111111111112
66165013 11002 0.6111111111111112
66165014 11002 0.75
66165015 11002 0.5555555555555556
66165016 11002 0.8888888888888888
66165017 11002 0.75
66165018 11002 0.3611111111111111
66165019 11002 0.6111111111111112
66165020 11002 0.5833333333333334
66165021 11002 0.75
66165022 11002 0.3333333333333333
66165023 11002 0.7222222222222222
66165024 11002 1.0
66165025 11002 0.7777777777777778
66165026 11002 0.4722222222222222
66165027 11002 0.8611111111111112
66165028 11002 0.5
66165029 11002 0.6111111111111112
66165030 11002 0.5555555555555556
66165001 11003 0.16666666666666666
66165002 11003 0.4722222222222222
66165003 11003 0.4444444444444444
66165004 11003 0.16666666666666666
66165005 11003 0.3333333333333333
66165006 11003 0.6388888888888888
66165007 11003 0.1111111111111111
66165008 11003 0.5833333333333334
66165009 11003 0.5
66165010 11003 0.9166666666666666
66165011 11003 0.9166666666666666
66165012 11003 0.3611111111111111
66165013 11003 0.3611111111111111
66165014 11003 0.4722222222222222
66165015 11003 0.2222222222222222
66165016 11003 0.16666666666666666
66165017 11003 0.6388888888888888
66165018 11003 0.6666666666666666
66165019 11003 0.5833333333333334
66165020 11003 0.8333333333333334
66165021 11003 0.4444444444444444
66165022 11003 0.4722222222222222
66165023 11003 0.3888888888888889
66165024 11003 0.9444444444444444
66165025 11003 0.25
66165026 11003 0.2222222222222222
66165027 11003 1.0
66165028 11003 0.5277777777777778
66165029 11003 0.6388888888888888
66165030 11003 0.5555555555555556
66165001 11004 0.5
66165002 11004 0.4166666666666667
66165003 11004 0.19444444444444445
66165004 11004 0.4722222222222222
66165005 11004 0.3611111111111111
66165006 11004 0.8611111111111112
66165007 11004 0.6666666666666666
66165008 11004 0.25
66165009 11004 0.4166666666666667
66165010 11004 0.6666666666666666
66165011 11004 0.5555555555555556
66165012 11004 0.6388888888888888
66165013 11004 0.5833333333333334
66165014 11004 0.75
66165015 11004 0.5277777777777778
66165016 11004 0.6666666666666666
66165017 11004 0.2222222222222222
66165018 11004 0.4166666666666667
66165019 11004 0.5555555555555556
66165020 11004 0.3888888888888889
66165021 11004 0.6388888888888888
